id,t,h,ts
dht22-yellow,20.9,36.9,09:05:56
dht22-yellow,20.9,36.9,09:07:59
dht22-yellow,20.9,37.4,09:10:03
dht22-yellow,20.9,36.8,09:12:14
dht22-yellow,20.9,36.8,09:14:20
dht22-yellow,20.9,36.8,09:16:28
dht22-yellow,20.9,36.8,09:18:31
dht22-yellow,20.9,36.8,09:20:35
dht22-yellow,20.8,36.8,09:22:39
dht22-yellow,20.8,36.9,09:24:45
dht22-yellow,20.8,36.8,09:26:53
dht22-yellow,20.8,36.8,09:29:04
dht22-yellow,20.8,36.8,09:31:12
dht22-yellow,20.8,36.8,09:33:21
dht22-yellow,20.8,36.8,09:35:28
dht22-yellow,20.8,36.7,09:37:32
dht22-yellow,20.8,36.7,09:39:40
dht22-yellow,20.8,36.7,09:41:44
dht22-yellow,20.8,36.7,09:43:51
dht22-yellow,20.8,36.6,09:46:00
dht22-yellow,20.8,36.6,09:48:07
dht22-yellow,20.7,36.7,09:50:16
dht22-yellow,20.7,36.7,09:52:21
dht22-yellow,20.7,36.7,09:54:27
dht22-yellow,20.7,36.8,09:56:35
dht22-yellow,20.6,36.7,09:58:43
dht22-yellow,20.6,36.7,10:00:54
dht22-yellow,20.7,36.7,10:03:06
dht22-yellow,20.7,36.6,10:05:14
dht22-yellow,20.6,36.5,10:07:20
dht22-yellow,20.6,36.5,10:09:24
dht22-yellow,20.6,36.5,10:11:30
dht22-yellow,20.6,36.5,10:13:36
dht22-yellow,20.6,36.5,10:15:47
dht22-yellow,20.6,36.5,10:17:54
dht22-yellow,20.6,36.6,10:20:03
dht22-yellow,20.5,36.5,10:22:16
dht22-yellow,20.5,36.5,10:24:22
dht22-yellow,20.5,36.5,10:26:30
dht22-yellow,20.5,36.5,10:28:38
dht22-yellow,20.5,36.5,10:30:44
dht22-yellow,20.5,36.4,10:32:51
dht22-yellow,20.5,36.4,10:34:57
dht22-yellow,20.5,36.4,10:37:03
dht22-yellow,20.5,36.4,10:39:11
dht22-yellow,20.5,36.4,10:41:15
dht22-yellow,20.5,36.4,10:43:19
dht22-yellow,20.5,36.4,10:45:27
dht22-yellow,20.5,36.4,10:47:35
dht22-yellow,20.5,36.4,10:49:37
dht22-yellow,20.4,36.4,10:51:41
dht22-yellow,20.4,36.4,10:53:47
dht22-yellow,20.4,36.4,10:55:50
dht22-yellow,20.4,37,10:58:01
dht22-yellow,20.4,36.4,11:00:09
dht22-yellow,20.4,36.4,11:02:10
dht22-yellow,20.4,36.3,11:04:14
dht22-yellow,20.4,36.3,11:06:20
dht22-yellow,20.4,36.2,11:08:28
dht22-yellow,20.4,36.2,11:10:32
dht22-yellow,20.4,36.2,11:12:40
dht22-yellow,20.4,36.3,11:14:44
dht22-yellow,20.3,36.3,11:16:52
dht22-yellow,20.3,36.3,11:18:54
dht22-yellow,20.3,36.3,11:20:58
dht22-yellow,20.3,36.3,11:23:04
dht22-yellow,20.4,36.3,11:25:12
dht22-yellow,20.3,36.2,11:27:23
dht22-yellow,20.3,36.2,11:29:28
dht22-yellow,20.3,36.2,11:31:32
dht22-yellow,20.4,36.2,11:33:40
dht22-yellow,20.3,36.1,11:35:46
dht22-yellow,20.3,36.2,11:37:50
dht22-yellow,20.3,36.1,11:39:51
dht22-yellow,20.3,36.1,11:41:57
dht22-yellow,20.3,36.2,11:44:03
dht22-yellow,20.3,36.1,11:46:09
dht22-yellow,20.2,36.1,11:48:11
dht22-yellow,20.3,36.2,11:50:17
dht22-yellow,20.3,36.2,11:52:20
dht22-yellow,20.3,36.1,11:54:26
dht22-yellow,20.2,36.1,11:56:28
dht22-yellow,20.3,36.1,11:58:34
dht22-yellow,20.2,36,12:00:42
dht22-yellow,20.3,36.1,12:02:48
dht22-yellow,20.3,36.1,12:04:53
dht22-yellow,20.3,36.1,12:07:00
dht22-yellow,20.3,36,12:09:02
dht22-yellow,20.2,36,12:11:11
dht22-yellow,20.2,36.5,12:13:20
dht22-yellow,20.2,36,12:15:26
dht22-yellow,20.2,36,12:17:29
dht22-yellow,20.2,36,12:19:38
dht22-yellow,20.2,36,12:21:44
dht22-yellow,20.2,35.9,12:23:52
dht22-yellow,20.2,36,12:25:55
dht22-yellow,20.2,36,12:27:59
dht22-yellow,20.3,36.4,12:30:12
dht22-yellow,20.3,36.4,12:32:18
dht22-yellow,20.3,36.3,12:34:22
dht22-yellow,20.2,36.2,12:36:25
dht22-yellow,20.2,36.2,12:38:27
dht22-yellow,20.2,36.1,12:40:29
dht22-yellow,20.2,36.1,12:42:32
